instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
ftv64        2  10    1572.70        20.01         1556.00        2.0200     0.0313    1.9800     1545.0           1.5          OPTIMAL        0.7120              False               1545.0      0.7120
ftv64        5  10    1586.80        20.12         1545.00        2.0690     0.0296    2.0400     1545.0           1.3          OPTIMAL        0.0000              False               1545.0      0.0000
ftv64        8  10    1694.90        1.45          1694.00        1.7870     0.0254    1.7500     1548.0           2.2          OPTIMAL        9.4315              True                1550.0      9.2903
ftv70        2  10    1681.40        13.09         1669.00        2.6630     0.0226    2.6400     1669.0           2.6          OPTIMAL        0.0000              False               1669.0      0.0000
ftv70        5  10    1671.40        7.59          1669.00        2.7600     0.0333    2.7100     1669.0           2.5          OPTIMAL        0.0000              False               1673.0      -0.2391
ftv70        8  10    1747.00        0.00          1747.00        7.2040     0.3972    6.8900     1716.0           5.3          OPTIMAL        1.8065              False               1716.0      1.8065
ftv80        2  10    1381.90        6.64          1376.00        6.0330     0.0510    5.9400     1376.0           4.0          OPTIMAL        0.0000              False               1376.0      0.0000
ftv80        5  10    1376.00        0.00          1376.00        7.6390     0.0486    7.5700     1376.0           4.1          OPTIMAL        0.0000              False               1380.0      -0.2899
ftv80        8  10    1397.80        1.93          1395.00        6.3420     0.1711    6.0900     1376.0           4.3          OPTIMAL        1.3808              False               1376.0      1.3808
ftv90        2  10    1459.20        3.79          1452.00        11.8520    0.0529    11.8100    1452.0           4.5          OPTIMAL        0.0000              False               1452.0      0.0000
ftv90        5  10    1495.20        21.04         1461.00        12.6660    0.0980    12.5300    1452.0           4.8          OPTIMAL        0.6198              False               1452.0      0.6198
ftv90        8  10    1533.50        49.24         1474.00        9.9820     0.0887    9.8400     1452.0           4.6          OPTIMAL        1.5152              False               1452.0      1.5152
kro124       2  10    9748.10        38.26         9736.00        0.9460     0.0097    0.9300     9619.0           21.7         OPTIMAL        1.2163              True                9831.0      -0.9663
kro124       5  10    17621.00       156.33        17302.00       1.3310     0.0137    1.3100     16595.0          23.8         OPTIMAL        4.2603              True                16951.0     2.0707
kro124       8  10    25220.00       106.46        25119.00       4.0910     0.0363    4.0400     25036.0          24.8         OPTIMAL        0.3315              True                25607.0     -1.9057
p43          2  10    371.00         0.00          371.00         1.2520     0.0103    1.2400     371.0            0.9          OPTIMAL        0.0000              False               371.0       0.0000
p43          5  10    371.00         0.00          371.00         1.0440     0.0107    1.0300     371.0            1.3          OPTIMAL        0.0000              True                371.0       0.0000
p43          8  10    371.00         0.00          371.00         0.5610     0.0099    0.5400     371.0            1.2          OPTIMAL        0.0000              True                371.0       0.0000
rbg323       2  10    1292.60        1.90          1292.00        2289.4890  5.4194    2280.4000  1181.0           30.2         OPTIMAL        9.3988              False               1201.0      7.5770
rbg323       5  10    1290.00        7.83          1281.00        2342.2960  21.0458   2321.8600  1181.0           31.0         OPTIMAL        8.4674              False               1201.0      6.6611
rbg323       8  10    1274.20        7.47          1254.00        1718.0380  11.6454   1706.5000  1181.0           47.2         OPTIMAL        6.1812              False               1198.0      4.6745
rbg358       2  3     1166.67        5.77          1160.00        3812.1400  2.8871    3809.0000  987.0            34.2         OPTIMAL        17.5279             False               990.0       17.1717
rbg358       5  3     1155.33        8.08          1146.00        3964.6767  11.2748   3951.8100  987.0            31.5         OPTIMAL        16.1094             False               997.0       14.9448
rbg358       8  10    1116.90        5.15          1109.00        2914.9530  18.7062   2882.8200  987.0            33.2         OPTIMAL        12.3607             False               990.0       12.0202
rbg403       2  3     2101.67        2.89          2100.00        4909.7933  4.7181    4904.4100  2054.0           49.0         OPTIMAL        2.2395              False               2102.0      -0.0951
rbg403       5  3     2100.00        2.65          2097.00        5218.4067  41.0167   5187.3800  2054.0           44.3         OPTIMAL        2.0935              False               2102.0      -0.2379
rbg403       8  3     2083.33        4.04          2079.00        4263.9933  25.3621   4244.6600  2054.0           53.4         OPTIMAL        1.2171              False               2092.0      -0.6214
