instance	g	run	solution	time
crane316_12	8	4	8621458.00	408.16
crane316_12	8	5	8621458.00	411.87
crane316_12	8	6	8621458.00	405.18
crane316_12	8	7	8567463.00	437.88
crane316_12	8	8	8621458.00	409.51
crane316_12	8	9	8621458.00	413.49
crane316_12	8	10	8621458.00	414.21
crane316_13	2	1	1958824.00	33.74
crane316_13	2	2	1958824.00	33.85
crane316_13	2	3	1970909.00	33.95
crane316_13	2	4	1958824.00	34.02
crane316_13	2	5	1958824.00	33.74
crane316_13	2	6	1970909.00	34.12
crane316_13	2	7	1958824.00	34.38
crane316_13	2	8	1970909.00	34.18
crane316_13	2	9	1970909.00	33.94
crane316_13	2	10	1970909.00	34.25
crane316_13	5	1	5067589.00	100.58
crane316_13	5	2	4975156.00	101.11
crane316_13	5	3	5067589.00	99.65
crane316_13	5	4	5067589.00	100.27
crane316_13	5	5	5067589.00	99.94
crane316_13	5	6	5067589.00	100.59
crane316_13	5	7	4938249.00	98.79
crane316_13	5	8	4841187.00	100.05
crane316_13	5	9	5046929.00	98.94
crane316_13	5	10	5067589.00	99.72
crane316_13	8	1	8591656.00	412.60
crane316_13	8	2	8276554.00	413.16
crane316_13	8	3	8449419.00	421.51
crane316_13	8	4	8449419.00	416.38
crane316_13	8	5	8523566.00	470.89
crane316_13	8	6	8449419.00	419.33
crane316_13	8	7	8449419.00	417.72
crane316_13	8	8	8618690.00	408.77
crane316_13	8	9	8591656.00	422.13
crane316_13	8	10	8618690.00	405.98
crane316_14	2	1	2044933.00	40.59
crane316_14	2	2	2090141.00	40.51
crane316_14	2	3	2090141.00	40.63
crane316_14	2	4	2090141.00	40.26
crane316_14	2	5	2090141.00	40.38
crane316_14	2	6	2090141.00	40.57
crane316_14	2	7	2090141.00	40.44
crane316_14	2	8	2090141.00	40.97
crane316_14	2	9	1987647.00	41.51
crane316_14	2	10	2074223.00	40.70
crane316_14	5	1	4687008.00	108.70
crane316_14	5	2	4687008.00	110.86
crane316_14	5	3	4657132.00	109.29
crane316_14	5	4	4910330.00	108.88
crane316_14	5	5	4910330.00	109.73
crane316_14	5	6	4898923.00	110.22
crane316_14	5	7	4657132.00	109.08
crane316_14	5	8	4910330.00	110.30
crane316_14	5	9	4910330.00	108.00
crane316_14	5	10	4685944.00	109.70
crane316_14	8	1	8458198.00	390.13
crane316_14	8	2	8460409.00	389.89
crane316_14	8	3	8460409.00	394.49
crane316_14	8	4	8458198.00	392.21
crane316_14	8	5	8435778.00	392.70
crane316_14	8	6	8460409.00	390.18
crane316_14	8	7	8460409.00	390.08
crane316_14	8	8	8460409.00	390.04
crane316_14	8	9	8460409.00	393.62
crane316_14	8	10	8535980.00	402.06
crane316_15	2	1	2239120.00	36.21
crane316_15	2	2	2195595.00	36.11
crane316_15	2	3	2208995.00	35.99
crane316_15	2	4	2239120.00	36.00
crane316_15	2	5	2239120.00	35.84
crane316_15	2	6	2164289.00	35.34
crane316_15	2	7	2239120.00	35.95
crane316_15	2	8	2239120.00	36.24
crane316_15	2	9	2239120.00	36.02
crane316_15	2	10	2239120.00	36.08
crane316_15	5	1	5544567.00	108.69
crane316_15	5	2	5521336.00	107.88
crane316_15	5	3	5549504.00	109.03
crane316_15	5	4	5519009.00	108.20
crane316_15	5	5	5519009.00	107.57
crane316_15	5	6	5521336.00	107.36
crane316_15	5	7	5581005.00	110.72
crane316_15	5	8	5581005.00	111.31
crane316_15	5	9	5581005.00	110.19
crane316_15	5	10	5521336.00	107.38
crane316_15	8	1	9182473.00	564.81
crane316_15	8	2	9022226.00	493.03
crane316_15	8	3	9046305.00	496.07
crane316_15	8	4	9021738.00	501.09
crane316_15	8	5	9021738.00	502.27
crane316_15	8	6	9082860.00	514.83
crane316_15	8	7	9008965.00	508.33
crane316_15	8	8	9172100.00	561.47
crane316_15	8	9	9022226.00	493.14
crane316_15	8	10	9172100.00	568.36
crane316_16	2	1	2319233.00	35.15
crane316_16	2	2	2319233.00	35.03
crane316_16	2	3	2319233.00	35.59
crane316_16	2	4	2216532.00	35.03
crane316_16	2	5	2319233.00	35.21
crane316_16	2	6	2300975.00	35.23
crane316_16	2	7	2300975.00	35.26
crane316_16	2	8	2319233.00	35.66
crane316_16	2	9	2214126.00	35.59
crane316_16	2	10	2319233.00	35.69
crane316_16	5	1	5436832.00	130.93
crane316_16	5	2	5495827.00	134.19
crane316_16	5	3	5394647.00	132.07
crane316_16	5	4	5436832.00	129.70
crane316_16	5	5	5517381.00	129.12
crane316_16	5	6	5436832.00	131.46
crane316_16	5	7	5402773.00	130.53
crane316_16	5	8	5436832.00	130.58
crane316_16	5	9	5439671.00	130.33
crane316_16	5	10	5436832.00	131.47
crane316_16	8	1	9067341.00	541.88
crane316_16	8	2	9067341.00	540.86
crane316_16	8	3	9067341.00	537.94
crane316_16	8	4	8839259.00	530.23
crane316_16	8	5	9067341.00	540.27
crane316_16	8	6	9067341.00	539.74
crane316_16	8	7	9067341.00	549.70
crane316_16	8	8	9099540.00	506.18
crane316_16	8	9	8852293.00	479.90
crane316_16	8	10	8967728.00	484.07
crane316_17	2	1	2124403.00	40.76
crane316_17	2	2	2058055.00	40.72
crane316_17	2	3	2105401.00	40.79
crane316_17	2	4	2143327.00	40.59
crane316_17	2	5	2124403.00	41.09
crane316_17	2	6	2124403.00	41.20
crane316_17	2	7	2125109.00	40.36
crane316_17	2	8	2143327.00	40.56
crane316_17	2	9	2124403.00	40.92
crane316_17	2	10	2143327.00	40.80
crane316_17	5	1	5295685.00	114.08
crane316_17	5	2	5295685.00	113.98
crane316_17	5	3	5295685.00	113.19
crane316_17	5	4	5466790.00	116.23
crane316_17	5	5	5437026.00	113.85
