instance	g	runs	mean_solution	std_solution	best_solution	mean_time	std_time	best_time	gurobi_solution	gurobi_time	gurobi_status	gap_gurobi_percent	faster_than_gurobi	UB	gap_UB_percent
crane100_9	2	10	1367992.40	20448.30	1338360.00	5.9450	0.0172	5.9300	1255841.0	280.2	OPTIMAL	8.9304	True	1268022.0	7.8840
crane100_9	5	10	3002336.00	4446.16	3000930.00	10.4920	0.0856	10.3800	2807391.0	223.8	OPTIMAL	6.9440	True	2853993.0	5.1977
crane100_9	8	10	4740234.60	10491.59	4735258.00	23.2780	0.1856	23.0800	4561415.0	54.4	OPTIMAL	3.9203	True	4646713.0	2.0126
crane316_10	2	10	2058530.00	0.00	2058530.00	173.7850	1.0996	172.1500	1791756.0	1489.9	OPTIMAL	14.8890	True	1805731.0	13.9998
crane316_10	5	10	5307952.20	21224.02	5287831.00	453.0130	4.7197	448.1700	4423414.0	1419.0	OPTIMAL	19.9967	True	4912604.0	8.0476
crane316_10	8	10	9210380.00	0.00	9210380.00	1610.4760	5.3950	1600.2600	7839559.0	1493.4	OPTIMAL	17.4859	False	8451199.0	8.9831
crane316_11	2	10	2250349.90	22708.00	2243169.00	146.4340	1.1100	143.5300	1806858.0	3600.2	TIME_LIMIT	24.5449	True	1818963.0	23.7161
crane316_11	5	10	5303814.00	0.00	5303814.00	454.2170	1.2225	452.6500	4547174.0	1031.7	OPTIMAL	16.6398	True	4589917.0	15.5536
crane316_11	8	10	9198200.30	40734.25	9185319.00	1593.3650	7.7770	1586.1700	8003282.0	2137.7	OPTIMAL	14.9304	True	8082514.0	13.8037
crane316_12	2	10	2203105.00	0.00	2203105.00	159.7900	1.3222	157.9800	1971472.0	3600.4	TIME_LIMIT	11.7492	True	1968055.0	11.9433
crane316_12	5	10	5298647.00	0.00	5298647.00	509.2960	1.9209	507.7100	4501234.0	3607.5	TIME_LIMIT	17.7154	True	5016467.0	5.6251
crane316_12	8	10	8727751.00	0.00	8727751.00	1590.6830	4.5288	1584.1600	7725382.9	2722.4	OPTIMAL	12.9750	True	8102996.0	7.7102
crane316_13	2	10	1992175.00	0.00	1992175.00	168.3780	0.9256	166.9800	1724803.0	3600.2	TIME_LIMIT	15.5016	True	1826437.0	9.0744
crane316_13	5	10	5130066.00	0.00	5130066.00	434.1240	2.6993	430.7100	4209269.0	1329.2	OPTIMAL	21.8755	True	4752664.0	7.9409
crane316_13	8	10	8484573.00	0.00	8484573.00	1648.6740	40.7582	1575.4000	7440831.0	1313.4	OPTIMAL	14.0272	False	7546490.0	12.4307
crane316_14	2	10	2107899.10	33157.70	2019548.00	159.3650	2.6199	155.1200	1690461.0	3600.1	TIME_LIMIT	24.6937	True	1737346.0	21.3287
crane316_14	5	10	4980818.00	0.00	4980818.00	505.9090	5.1927	497.4100	4298748.0	3600.1	TIME_LIMIT	15.8667	True	4301355.0	15.7965
crane316_14	8	10	8629977.10	69873.37	8431114.00	1624.1960	26.0082	1566.8700	7705981.0	3544.7	OPTIMAL	11.9906	True	8364969.0	3.1681
crane316_15	2	10	2357897.60	13260.70	2320157.00	166.4520	0.4868	165.7000	1849426.0	3600.1	TIME_LIMIT	27.4935	True	1986257.0	18.7106
crane316_15	5	10	5584340.80	2516.20	5579554.00	515.3720	21.7507	506.5600	4534538.0	3600.2	TIME_LIMIT	23.1513	True	4689805.0	19.0741
crane316_15	8	10	9334336.00	0.00	9334336.00	1889.6350	5.7789	1882.3500	7881871.0	1634.3	OPTIMAL	18.4279	False	8009557.0	16.5400
crane316_16	2	10	2325289.90	28843.45	2243200.00	180.3940	7.5902	177.2500	1713861.9	3600.1	TIME_LIMIT	35.6755	True	1746193.0	33.1634
